Date,low,high,open,close,volume
2021-08-05,2721.0,2949.21,2829.49,2892.98,283374.42059615
2021-08-06,2866.58,3173.72,2892.83,3163.09,299359.36243726
2021-08-07,2948.76,3191.99,3163.09,3014.13,244654.45876056
2021-08-08,2892.5,3190.0,3014.12,3162.34,315853.32665056
2021-08-09,3051.0,3235.1,3162.33,3142.09,223500.03188943
2021-08-10,3122.22,3275.0,3142.18,3162.61,194586.91786387
2021-08-11,2980.0,3239.69,3162.16,3047.21,243214.90148817
2021-08-12,3034.52,3330.0,3047.21,3324.51,190905.3520745
2021-08-13,3206.96,3333.0,3324.51,3266.52,118892.50906903
2021-08-14,3112.96,3323.54,3266.52,3310.93,162311.47927523
2021-08-15,3135.0,3341.47,3311.02,3146.6,177756.89052157
2021-08-16,2992.15,3293.15,3146.6,3011.01,246541.89921532
2021-08-17,2951.0,3126.51,3011.77,3014.38,193245.63285215
2021-08-18,2960.0,3187.48,3014.38,3184.21,161902.28879318
2021-08-19,3178.65,3300.0,3184.32,3286.58,173202.49961989
2021-08-20,3206.96,3311.0,3286.82,3226.73,108432.72740463
2021-08-21,3128.82,3275.0,3226.38,3241.42,98417.87656735
2021-08-22,3233.19,3378.6,3241.41,3323.12,170976.09020067
2021-08-23,3133.45,3360.0,3322.76,3171.52,162665.07930976
2021-08-24,3079.92,3249.0,3170.94,3228.51,138830.69124351
2021-08-25,3056.0,3251.05,3228.51,3093.2,140286.63490594
2021-08-26,3050.0,3283.26,3092.71,3274.67,168913.62309989
2021-08-27,3212.01,3290.51,3275.32,3247.99,72183.42536015
2021-08-28,3153.75,3287.73,3247.99,3226.46,89119.39624772
2021-08-29,3145.45,3349.0,3226.45,3229.01,219625.56218696
2021-08-30,3190.56,3486.8,3229.02,3430.23,320212.11999266
2021-08-31,3384.24,3843.12,3430.0,3829.39,306568.70086335
2021-09-01,3722.65,3838.28,3829.29,3787.97,206168.93909873
2021-09-02,3710.59,4030.35,3788.2,3940.06,284766.1603865
2021-09-03,3834.57,3970.0,3940.06,3887.53,130047.41569531
2021-09-04,3835.7,3982.64,3887.58,3952.17,101339.56157838
2021-09-05,3868.0,3973.27,3951.68,3928.89,111675.62991707
2021-09-06,3009.0,3948.0,3928.72,3436.96,482489.77503547
2021-09-07,3216.0,3562.98,3436.75,3500.34,352658.69072643
2021-09-08,3393.17,3568.59,3499.54,3424.95,244244.24892658
2021-09-09,3142.67,3514.37,3424.32,3209.82,271075.68986114
2021-09-10,3199.88,3349.43,3209.29,3266.77,133373.86127026
2021-09-11,3231.75,3472.99,3266.97,3403.75,133979.51978513
2021-09-12,3111.14,3430.0,3403.81,3286.2,215497.91819641
2021-09-13,3270.74,3439.15,3285.66,3436.29,152957.54148077
2021-09-14,3359.96,3621.15,3436.29,3615.65,157550.50123984
2021-09-15,3482.97,3675.92,3615.68,3568.66,193709.08937556
2021-09-16,3350.06,3595.0,3568.77,3400.0,164813.94731616
2021-09-17,3369.53,3543.0,3400.0,3436.31,129386.37129349
2021-09-18,3278.0,3457.22,3436.59,3328.59,93362.31450909
2021-09-19,2911.81,3346.58,3328.7,2976.48,434236.7826118
2021-09-20,2651.0,3104.82,2976.36,2765.69,441567.8736938
2021-09-21,2738.24,3090.83,2765.33,3078.43,271497.54590784
2021-09-22,3035.83,3182.34,3078.42,3154.62,166485.49300907
2021-09-23,2735.0,3160.48,3154.42,2930.61,365024.83204626
2021-09-24,2800.01,2968.85,2930.59,2924.01,145561.52444175
2021-09-25,2741.34,3117.48,2923.91,3060.71,168746.48142334
2021-09-26,2925.0,3168.03,3059.92,2925.27,172472.29785812
2021-09-27,2782.6,2971.16,2926.27,2805.65,186331.02775653
2021-09-28,2781.99,2950.6,2805.64,2850.14,177979.48195163
2021-09-29,2836.21,3048.58,2849.71,3000.46,169873.45079422
2021-09-30,2967.41,3337.15,3001.14,3311.16,201035.51345113
2021-10-01,3258.94,3469.95,3311.2,3387.82,144778.38450029
2021-10-02,3343.36,3489.18,3388.67,3420.07,124271.04864619
2021-10-03,3269.67,3438.91,3419.63,3387.2,163829.62677831
2021-10-04,3365.34,3547.88,3386.9,3515.3,163084.66881477
2021-10-05,3342.16,3632.44,3517.26,3575.85,219116.78797009
2021-10-06,3471.52,3655.02,3576.45,3588.51,195554.94828114
2021-10-07,3535.0,3670.0,3588.83,3563.96,146564.44707403
2021-10-08,3538.61,3634.13,3563.96,3575.83,88782.58533301
2021-10-09,3406.44,3605.49,3575.2,3415.0,112835.1020128
2021-10-10,3373.45,3625.0,3414.75,3542.37,142525.70987846
2021-10-11,3403.51,3549.0,3542.2,3490.61,176617.45185163
2021-10-12,3412.45,3614.48,3490.17,3608.21,158955.26821205
2021-10-13,3588.55,3828.84,3608.43,3791.66,216569.69208772
2021-10-14,3734.44,3900.0,3791.06,3869.73,204682.20802319
2021-10-15,3802.0,3968.49,3869.73,3829.66,130674.36831436
2021-10-16,3643.0,3919.0,3829.7,3847.18,134515.91092357
2021-10-17,3676.35,3894.7,3847.38,3745.48,187448.53280815
2021-10-18,3700.0,3890.36,3745.13,3878.17,154012.15326702
2021-10-19,3829.59,4169.0,3878.35,4161.94,235728.75520251
2021-10-20,4010.22,4374.95,4161.83,4053.9,286201.83773073
2021-10-21,3885.25,4169.72,4053.97,3971.55,187484.20093549
2021-10-22,3935.92,4172.04,3971.89,4168.56,109253.57167984
2021-10-23,3962.05,4188.42,4168.53,4082.64,126731.47064484
2021-10-24,4069.22,4236.27,4082.09,4220.93,145753.84102089
2021-10-25,4091.31,4297.0,4221.16,4131.47,169619.87486465
2021-10-26,3911.0,4314.63,4132.19,3923.94,279555.38152718
2021-10-28,4266.91,4461.96,4288.25,4421.23,257148.94601167
2021-10-29,4236.99,4435.0,4421.23,4324.67,123410.59442713
2021-10-30,4168.1,4395.99,4325.55,4290.16,148206.08981334
2021-10-31,4151.0,4385.16,4290.31,4322.89,165298.66872401
2021-11-01,4287.32,4604.99,4322.89,4595.01,217839.79309642
2021-11-02,4456.0,4671.0,4594.27,4606.07,213935.75674438
2021-11-03,4423.01,4610.24,4606.07,4537.15,182872.96131449
2021-11-04,4446.01,4574.0,4537.14,4479.47,142403.14739608
2021-11-05,4329.21,4534.43,4479.47,4523.16,107961.55343832
2021-11-06,4506.99,4639.8,4523.73,4617.02,85312.85613745
2021-11-07,4616.5,4825.0,4617.27,4811.9,163884.29350308
2021-11-08,4697.9,4842.54,4811.89,4731.59,154525.60456333
2021-11-09,4460.0,4867.81,4731.58,4632.22,249949.62441734
2021-11-10,4578.05,4783.05,4632.23,4721.87,112248.30258781
2021-11-11,4508.42,4809.27,4721.07,4667.34,160383.45748095
2021-11-12,4586.8,4708.6,4667.79,4644.44,76568.33646209
2021-11-13,4516.05,4695.07,4644.43,4627.03,96933.07064437
2021-11-14,4541.0,4770.0,4626.61,4565.06,121693.76091856
2021-11-15,4108.0,4564.98,4564.34,4209.5,309826.45957038
2021-11-16,4068.24,4300.01,4209.89,4289.4,197969.47328462
2021-11-17,3960.0,4346.42,4289.4,3997.93,291477.64786245
2021-11-18,3975.24,4314.82,3998.57,4299.55,191232.56135587
2021-11-19,4206.03,4438.96,4299.55,4416.69,96882.12097892
2021-11-20,4246.07,4427.72,4416.36,4262.99,83775.31676078
2021-11-21,4024.45,4322.86,4263.04,4089.16,174572.98932477
2021-11-22,4062.28,4389.95,4089.17,4341.62,159935.23797902
2021-11-23,4168.99,4359.88,4341.58,4270.74,120268.67729032
2021-11-24,4250.0,4555.11,4270.93,4525.87,132338.28173546
2021-11-25,3915.0,4555.53,4527.03,4043.67,324817.57682312
2021-11-26,4031.56,4186.97,4043.62,4098.31,93299.56271946
2021-11-27,3950.0,4303.35,4098.53,4298.38,124752.71262005
2021-11-28,4282.07,4466.0,4298.38,4449.42,170935.20731881
2021-11-29,4350.91,4759.0,4449.42,4634.95,312105.05293146
2021-11-30,4526.94,4784.5,4636.43,4586.95,241301.695591
2021-12-01,4435.0,4637.39,4586.87,4514.59,171913.60834148
2021-12-02,4035.0,4662.75,4514.54,4216.93,312836.25058642
2021-12-03,3575.0,4240.0,4216.3,4123.13,512946.90714235
2021-12-04,4038.13,4257.0,4123.13,4203.22,250275.13989584
2021-12-05,3913.0,4380.8,4203.22,4354.22,349333.84787974
2021-12-06,4260.0,4433.99,4354.09,4310.19,198306.85854675
2021-12-07,4226.88,4456.36,4310.21,4440.51,186740.13696568
2021-12-08,4076.15,4490.72,4440.94,4106.06,222048.28315781
